test,chi2,p,phi,table,n_discordant,p_holm,stat,p_two_sided,r,median_diff,mean_diff,w
C1_claude_vs_llama,3.125,0.07709987174354178,-2.1213203435596424,"[[4, 1], [7, 19]]",8.0,0.2945530804812118,,,,,,
C2_gpt_vs_deepseek_coder,0.0,1.0,0.3333333333333333,"[[0, 5], [4, 22]]",9.0,1.0,,,,,,
C3_dual_vs_llama_fnr,3.2,0.07363827012030295,-2.23606797749979,"[[6, 0], [5, 20]]",5.0,0.2945530804812118,,,,,,
C5_latency,,0.999999999999822,,,,1.0,0.0,3.559469460061398e-13,1.0,-4673.335166502438,-4447.4180660142265,
C6_friedman,41.05747126436748,2.6151820052113636e-08,,,,1.3075910026056817e-07,,,,,,0.14663382594416957
