config,label,n,valid_json_pct,msr_pct,fnr_pct,f1,latency_mean,latency_std,latency_median,latency_min,latency_max,tp,fn
solo_llama,Llama-3.1-8B (local),70,100.0,64.51612903225806,35.483870967741936,0.7843137254901961,4527.441111285642,2200.155964344266,4753.582354001992,1621.982874999958,11854.896374999951,20,11
solo_deepseek,DeepSeek-R1-Distill-Qwen-14B (local),70,14.285714285714286,12.903225806451612,87.09677419354838,0.2222222222222222,48000.536432614485,3076.8545565498894,48346.67312500096,32108.620750001137,57134.72316699699,4,27
solo_deepseek_coder,DeepSeek-Coder-V2 (frontera),70,100.0,87.09677419354838,12.903225806451612,0.7941176470588235,2153.8808577282907,1181.2542272142794,1977.0504165007878,1451.9782499992289,11247.522583998943,27,4
solo_claude,Claude 3.5 Sonnet (frontera),70,100.0,83.87096774193549,16.129032258064516,0.9122807017543859,80.0230452714147,0.056443326919410605,80.01552049798192,80.00775000080466,80.48545800018474,26,5
solo_gpt4o,GPT-4o (frontera),70,100.0,83.87096774193549,16.129032258064516,0.9122807017543859,80.01458151418774,0.007110329273046259,80.01137499930337,80.00387500040233,80.0330410002789,26,5
triton_heal_dual,Triton Heal (dual + veto),70,100.0,80.64516129032258,19.35483870967742,0.8620689655172414,6854.072061942757,2179.62357925558,6653.2702914973925,3803.6157919996185,14059.929250997811,25,6
