config,label,n,compile_pct,compile_n_ok,speedup_mean,speedup_std,speedup_min,speedup_max,gen_latency_mean,gen_latency_std,gpu_eff_mean
solo_llama,Llama-3.1-8B (local),10,50.0,5,0.00051940164615392,5.3165131104641015e-05,0.0004498895290769,0.0005859053597662,60220.404704300745,6223.982442433843,0.00862859432025861
solo_deepseek,DeepSeek-R1-Distill-Qwen-14B (local),0,0.0,0,,,,,,,
solo_deepseek_coder,DeepSeek-Coder-V2 (frontera),10,100.0,10,0.00198887166500875,0.0008857612461024641,0.0009797243665342,0.0039180026160438,18019.43430009851,7977.2962623253725,0.0662356085771395
solo_claude,Claude 3.5 Sonnet (frontera),10,100.0,10,0.36391284299956966,0.030268018688752455,0.2782009471547823,0.378262849565329,50.001804099883884,0.0005054432905736246,19.99927838792292
solo_gpt4o,GPT-4o (frontera),10,100.0,10,0.37151116192603817,0.006481812127619289,0.3586137433776815,0.3813151483426666,50.001645798329264,0.00029403487556064936,19.99934170295922
triton_heal_dual,Triton Heal (dual + veto),10,50.0,5,0.00063866590640706,0.0001727755077199768,0.0005132140280889,0.0009395790993414,71706.68814600067,25833.835999679846,0.01060470583850984
